단지명,단지코드,시도,시군구,읍면동,구주소,신주소,x,y
장은하이빌아파트,A10021254,서울특별시,노원구,월계동,서울 노원구 월계동 931,서울 노원구 석계로13길 6-9,127.06178766744681,37.620640611509884
세양청마루,A10024636,서울특별시,노원구,월계동,서울 노원구 월계동 943,서울 노원구 석계로13길 35,127.06066407610798,37.620724085341976
월계우남아파트,A10024812,서울특별시,노원구,월계동,서울 노원구 월계동 930,서울 노원구 화랑로 355,127.06711171117817,37.61588409163694
월계센트럴아이파크아파트,A10025097,서울특별시,노원구,월계동,서울 노원구 월계동 951,서울 노원구 초안산로2라길 26,127.05719832521825,37.63008887123446
녹천역두산위브아파트,A10027121,서울특별시,노원구,월계동,서울 노원구 월계동 950,서울 노원구 마들로5길 25,127.05276946377072,37.64060363176505
꿈의숲 SK뷰 아파트,A10027716,서울특별시,노원구,월계동,서울 노원구 월계동 949,서울 노원구 월계로42길 97,127.05400126682399,37.62210042741164
월계풍림아이원,A13905003,서울특별시,노원구,월계동,서울 노원구 월계동 944,서울 노원구 화랑로47길 38,127.06675897580811,37.61661229016541
월계한일1차,A13905101,서울특별시,노원구,월계동,서울 노원구 월계동 926,서울 노원구 석계로15길 25,127.06163682015217,37.621775934583226
월계대동,A13905102,서울특별시,노원구,월계동,서울 노원구 월계동 925,서울 노원구 광운로 46,127.06043384981308,37.62177295286295
월계동현대,A13905105,서울특별시,노원구,월계동,서울 노원구 월계동 929,서울 노원구 석계로 49,127.06274552257355,37.61878497245975
월계흥화브라운빌,A13905202,서울특별시,노원구,월계동,서울 노원구 월계동 939,서울 노원구 우이천로2나길 14,127.04396510082675,37.63161180463315
월계6-1초안,A13905204,서울특별시,노원구,월계동,,,,
월계6-2초안,A13905208,서울특별시,노원구,월계동,,,,
월계서광,A13905301,서울특별시,노원구,월계동,서울 노원구 월계동 922,서울 노원구 마들로1길 44,127.0649116195051,37.6231400752373
성원(사슴4),A13905302,서울특별시,노원구,월계동,,,,
월계삼호4차,A13984003,서울특별시,노원구,월계동,서울 노원구 월계동 12,서울 노원구 마들로 127,127.06415784234937,37.62652099026391
월계그랑빌,A13984004,서울특별시,노원구,월계동,서울 노원구 월계동 18,서울 노원구 마들로 31,127.06856779530985,37.61780416116174
월계시영고층,A13984005,서울특별시,노원구,월계동,서울 노원구 월계동 13,서울 노원구 마들로 111,127.066312368209,37.6238817097199
월계사슴2단지,A13984409,서울특별시,노원구,월계동,서울 노원구 월계동 320-9,서울 노원구 월계로55길 16,127.060845973169,37.6326530544351
월계사슴3단지,A13984411,서울특별시,노원구,월계동,서울 노원구 월계동 320-11,서울 노원구 월계로55길 15,127.05968514284014,37.63173103792022
월계삼창,A13984603,서울특별시,노원구,월계동,서울 노원구 월계동 448-3,서울 노원구 광운로2나길 50,127.059905755247,37.618652201071
월계동신,A13984604,서울특별시,노원구,월계동,서울 노원구 월계동 436,서울 노원구 광운로2나길 30,127.06186917739406,37.6164843118373
월계주공1단지,A13984813,서울특별시,노원구,월계동,서울 노원구 월계동 600,서울 노원구 월계로49길 5,127.05404053857335,37.62784239896338
월계주공2단지,A13984814,서울특별시,노원구,월계동,서울 노원구 월계동 556,서울 노원구 초안산로1길 18,127.0523543046775,37.62862701737198
월계대우아파트,A13985103,서울특별시,노원구,월계동,서울 노원구 월계동 775,서울 노원구 초안산로5길 22,127.05135261146722,37.633187347741604
월계청백3단지,A13985105,서울특별시,노원구,월계동,서울 노원구 월계동 780,서울 노원구 월계로45가길 89,127.050758115475,37.6319370367632
월계청백1단지,A13985106,서울특별시,노원구,월계동,서울 노원구 월계동 774,서울 노원구 초안산로 89,127.051694202437,37.6356667105723
월계청백4단지,A13985107,서울특별시,노원구,월계동,서울 노원구 월계동 781,서울 노원구 월계로45가길 94,127.051048266506,37.6321279205831
월계극동,A13985201,서울특별시,노원구,월계동,서울 노원구 월계동 803-1,서울 노원구 덕릉로60길 266,127.0459078628393,37.62954240071155
성북역신도브래뉴,A13987501,서울특별시,노원구,월계동,서울 노원구 월계동 941,서울 노원구 광운로19길 38,127.05892159885975,37.62315042621144
월계역신도브래뉴,A13987502,서울특별시,노원구,월계동,서울 노원구 월계동 942,서울 노원구 광운로 132,127.05867813891963,37.629020475968254
월계2차한일,A13987503,서울특별시,노원구,월계동,서울 노원구 월계동 927,서울 노원구 석계로13길 6-10,127.06200563166989,37.621220733121994
월계유원,A13991015,서울특별시,노원구,월계동,서울 노원구 월계동 880,서울 노원구 덕릉로60길 252,127.04520103937722,37.629672415617065
월계동원베네스트,A13991016,서울특별시,노원구,월계동,서울 노원구 월계동 940,서울 노원구 월계로53길 21,127.058598115738,37.6324271438177
월계초안산쌍용,A13991017,서울특별시,노원구,월계동,,,,
롯데캐슬루나,A13991018,서울특별시,노원구,월계동,서울 노원구 월계동 947,서울 노원구 월계로45길 21,127.04979354457613,37.62612428418169
월계사슴1단지,A13995602,서울특별시,노원구,월계동,서울 노원구 월계동 321,서울 노원구 월계로 372,127.06050653606896,37.630393556420294
태릉입구역 이니티움,A10021097,서울특별시,노원구,공릉동,서울 노원구 공릉동 684-41,,127.073818576675,37.6174874495377
서울공릉행복주택,A10022152,서울특별시,노원구,공릉동,서울 노원구 공릉동 428-7,서울 노원구 공릉로51길 20,127.07571549397903,37.62835035033591
한일휴니스빌,A10023478,서울특별시,노원구,공릉동,서울 노원구 공릉동 683-14,서울 노원구 화랑로 421,127.07433284578312,37.61752316623349
청년주택 와이엔타워,A10023990,서울특별시,노원구,공릉동,,,,
태릉해링턴플레이스,A10023991,서울특별시,노원구,공릉동,서울 노원구 공릉동 758,서울 노원구 공릉로34길 86,127.083452440108,37.62602328995329
공릉2차신도브래뉴아파트,A10026289,서울특별시,노원구,공릉동,서울 노원구 공릉동 749,서울 노원구 동일로193길 7,127.0719190474086,37.62568039941142
노원프레미어스엠코,A10027622,서울특별시,노원구,공릉동,서울 노원구 공릉동 670-3,서울 노원구 동일로 986,127.07591249336673,37.61821231734908
공릉한보아파트,A13924003,서울특별시,노원구,공릉동,서울 노원구 공릉동 743,서울 노원구 공릉로46길 19,127.08030887082565,37.628089631330475
삼익포레스트아파트,A13924004,서울특별시,노원구,공릉동,서울 노원구 공릉동 737,서울 노원구 공릉로46길 32,127.08203160088517,37.62677661004946
공릉동부,A13924205,서울특별시,노원구,공릉동,서울 노원구 공릉동 705,서울 노원구 공릉로 206,127.0786186687269,37.628076353823815
공릉현대,A13974401,서울특별시,노원구,공릉동,서울 노원구 공릉동 441-145,서울 노원구 동일로192길 83,127.07723601684054,37.62750153668662
청솔아파트8,A13980004,서울특별시,노원구,공릉동,서울 노원구 공릉동 91,서울 노원구 노원로1가길 10,127.08601280040153,37.62327073868931
공릉청솔9단지,A13980006,서울특별시,노원구,공릉동,서울 노원구 공릉동 90,서울 노원구 노원로1길 21,127.0851498229982,37.62144776658948
공릉태릉우성,A13980009,서울특별시,노원구,공릉동,서울 노원구 공릉동 254,서울 노원구 노원로 29,127.08479993938444,37.62455462190694
공릉화랑타운,A13980010,서울특별시,노원구,공릉동,서울 노원구 공릉동 111,서울 노원구 화랑로51길 17,127.08921661082368,37.62357469542307
공릉우방4단지,A13980012,서울특별시,노원구,공릉동,,,,
공릉해링턴플레이스(구.효성화운트빌),A13980014,서울특별시,노원구,공릉동,,,,
공릉2-6,A13980017,서울특별시,노원구,공릉동,,,,
공릉비선,A13980018,서울특별시,노원구,공릉동,서울 노원구 공릉동 109,서울 노원구 화랑로51길 78,127.087189150226,37.6256764111332
공릉태강,A13980019,서울특별시,노원구,공릉동,서울 노원구 공릉동 81,서울 노원구 공릉로34길 62,127.083796671226,37.6228704930487
공릉신원,A13980102,서울특별시,노원구,공릉동,서울 노원구 공릉동 370-4,서울 노원구 동일로192나길 26,127.07509296994675,37.62775789915253
공릉대동2차,A13980105,서울특별시,노원구,공릉동,서울 노원구 공릉동 380-1,서울 노원구 동일로195길 39,127.07015732691475,37.626650921662524
공릉신도1차,A13980107,서울특별시,노원구,공릉동,서울 노원구 공릉동 748,서울 노원구 동일로191가길 59,127.06998597760035,37.62754480203334
공릉우성,A13980108,서울특별시,노원구,공릉동,서울 노원구 공릉동 738,서울 노원구 동일로198길 24,127.07272162045322,37.62857297513071
공릉신성미소지움,A13980401,서울특별시,노원구,공릉동,서울 노원구 공릉동 756,서울 노원구 공릉로42길 13-14,127.08103501910634,37.62496090961401
공릉건영장미,A13980402,서울특별시,노원구,공릉동,서울 노원구 공릉동 744,서울 노원구 공릉로51길 14-17,127.07537085756634,37.629220923671966
공릉삼익2차,A13980403,서울특별시,노원구,공릉동,서울 노원구 공릉동 754,서울 노원구 공릉로34길 118,127.08062381401028,37.626006335862655
효성아파트,A13980407,서울특별시,노원구,공릉동,서울 노원구 공릉동 742,서울 노원구 화랑로 556,127.0886134202191,37.621194741958504
공릉동신,A13980411,서울특별시,노원구,공릉동,서울 노원구 공릉동 745,서울 노원구 공릉로 213,127.07684239045261,37.62808112791953
화랑해링턴플레이스,A13980413,서울특별시,노원구,공릉동,서울 노원구 공릉동 746,서울 노원구 공릉로34길 45,127.08119703082686,37.6239408811238
공릉두산힐스빌,A13980415,서울특별시,노원구,공릉동,서울 노원구 공릉동 747,서울 노원구 공릉로 126,127.07987980140705,37.62093608698827
공릉삼익4단지,A13980509,서울특별시,노원구,공릉동,서울 노원구 공릉동 714,서울 노원구 동일로198가길 13,127.07192762451872,37.62987899077585
공릉2단지라이프,A13980510,서울특별시,노원구,공릉동,서울 노원구 공릉동 707,서울 노원구 동일로198가길 149,127.06803447096246,37.63041648551156
공릉3단지라이프,A13980511,서울특별시,노원구,공릉동,서울 노원구 공릉동 715,서울 노원구 섬밭로 123,127.06861273855573,37.627268104716244
공릉1단지,A13980512,서울특별시,노원구,공릉동,서울 노원구 공릉동 708,서울 노원구 동일로 1127,127.06971456899828,37.630473167903475
공릉풍림아이원,A13980513,서울특별시,노원구,공릉동,서울 노원구 공릉동 725,서울 노원구 섬밭로 139,127.06681551595857,37.62916481137535
공릉대아2차,A13980604,서울특별시,노원구,공릉동,,,,
공릉대주파크빌,A13980706,서울특별시,노원구,공릉동,서울 노원구 공릉동 751,서울 노원구 섬밭로 52,127.07224546765146,37.62117886866782
공릉대동1차,A13980801,서울특별시,노원구,공릉동,,,,
공릉1동삼익,A13980803,서울특별시,노원구,공릉동,서울 노원구 공릉동 690-2,서울 노원구 섬밭로 17,127.0723240426242,37.61810104676659
공릉현대성우,A13994501,서울특별시,노원구,공릉동,서울 노원구 공릉동 741,서울 노원구 공릉로27길 110,127.07744340856665,37.626491394903155
노원에너지제로주택,A10026660,서울특별시,노원구,하계동,서울 노원구 하계동 251-9,서울 노원구 한글비석로 97,127.072574681981,37.6382325314587
중계한신코아,A13923001,서울특별시,노원구,하계동,서울 노원구 하계동 285,서울 노원구 노원로15길 51-10,127.06990688688013,37.64106863983549
하계우방,A13923102,서울특별시,노원구,하계동,서울 노원구 하계동 353,서울 노원구 공릉로58길 176,127.07731430093482,37.637458277785896
하계청구,A13923103,서울특별시,노원구,하계동,서울 노원구 하계동 251,서울 노원구 한글비석로 91,127.07087522528604,37.639451695920584
하계미성,A13923104,서울특별시,노원구,하계동,서울 노원구 하계동 280,서울 노원구 공릉로59길 28,127.06953949628392,37.63468087429683
하계2차현대아파트,A13923106,서울특별시,노원구,하계동,서울 노원구 하계동 288,서울 노원구 노원로18길 19,127.07203459943796,37.644464970952555
하계청솔,A13923108,서울특별시,노원구,하계동,서울 노원구 하계동 274,서울 노원구 공릉로59길 25,127.07130024002107,37.63248141876827
중계주공9단지,A13977913,서울특별시,노원구,하계동,서울 노원구 하계동 256,서울 노원구 노원로16길 15,127.07357198722013,37.64310804141108
하계1차청구아파트,A13987205,서울특별시,노원구,하계동,서울 노원구 하계동 251,서울 노원구 한글비석로 91,127.07087522528604,37.639451695920584
하계학여울청구B,A13987301,서울특별시,노원구,하계동,서울 노원구 하계동 356,서울 노원구 한글비석로 6,127.064580507036,37.6332132845104
하계시영5단지,A13987302,서울특별시,노원구,하계동,서울 노원구 하계동 272,서울 노원구 섬밭로 201,127.065799481322,37.6331693637063
하계현대우성,A13987303,서울특별시,노원구,하계동,서울 노원구 하계동 270,서울 노원구 섬밭로 232,127.06638280483796,37.6368486609804
하계 6단지 장미아파트,A13987304,서울특별시,노원구,하계동,서울 노원구 하계동 273,서울 노원구 섬밭로 196,127.068732250215,37.6340326378216
하계학여울청구,A13987305,서울특별시,노원구,하계동,서울 노원구 하계동 356,서울 노원구 한글비석로 6,127.064580507036,37.6332132845104
