table_name,ordinal_position,column_name,data_type,character_maximum_length,numeric_precision,numeric_scale,is_nullable,column_default
alembic_version,1,version_num,character varying,32,,,NO,
aptinfo,1,apt_cd,text,,,,NO,
aptinfo,2,sn,integer,,32,0,YES,
aptinfo,3,apt_nm,text,,,,YES,
aptinfo,4,cmpx_clsf,text,,,,YES,
aptinfo,5,apt_stdg_addr,text,,,,YES,
aptinfo,6,apt_rdn_addr,text,,,,YES,
aptinfo,7,ctpv_addr,text,,,,YES,
aptinfo,8,sgg_addr,text,,,,YES,
aptinfo,9,emd_addr,text,,,,YES,
aptinfo,10,daddr,text,,,,YES,
aptinfo,11,rdn_addr,text,,,,YES,
aptinfo,12,road_daddr,text,,,,YES,
aptinfo,13,telno,text,,,,YES,
aptinfo,14,fxno,text,,,,YES,
aptinfo,15,apt_cmpx,text,,,,YES,
aptinfo,16,apt_atch_file,text,,,,YES,
aptinfo,17,hh_type,text,,,,YES,
aptinfo,18,mng_mthd,text,,,,YES,
aptinfo,19,road_type,text,,,,YES,
aptinfo,20,mn_mthd,text,,,,YES,
aptinfo,21,whol_dong_cnt,integer,,32,0,YES,
aptinfo,22,tnohsh,integer,,32,0,YES,
aptinfo,23,bldr,text,,,,YES,
aptinfo,24,dvlr,text,,,,YES,
aptinfo,25,use_aprv_ymd,date,,,,YES,
aptinfo,26,gfa,numeric,,14,2,YES,
aptinfo,27,rsdt_xuar,numeric,,14,2,YES,
aptinfo,28,mnco_levy_area,numeric,,14,2,YES,
aptinfo,29,xuar_hh_stts60,numeric,,14,2,YES,
aptinfo,30,xuar_hh_stts85,numeric,,14,2,YES,
aptinfo,31,xuar_hh_stts135,numeric,,14,2,YES,
aptinfo,32,xuar_hh_stts136,numeric,,14,2,YES,
aptinfo,33,hmpg,text,,,,YES,
aptinfo,34,reg_ymd,date,,,,YES,
aptinfo,35,mdfcn_ymd,date,,,,YES,
aptinfo,36,epis_mng_no,text,,,,YES,
aptinfo,37,eps_mng_form,text,,,,YES,
aptinfo,38,hh_elct_ctrt_mthd,text,,,,YES,
aptinfo,39,clng_mng_form,text,,,,YES,
aptinfo,40,bdar,numeric,,14,2,YES,
aptinfo,41,prk_cntom,integer,,32,0,YES,
aptinfo,42,se_cd,text,,,,YES,
aptinfo,43,cmpx_aprv_day,date,,,,YES,
aptinfo,44,use_yn,text,,,,YES,
aptinfo,45,mnco_uld_yn,text,,,,YES,
aptinfo,46,lng,numeric,,10,7,YES,
aptinfo,47,lat,numeric,,10,7,YES,
aptinfo,48,cmpx_apld_day,date,,,,YES,
aptinfo,49,gu_key,text,,,,YES,
aptinfo,50,dong_key,text,,,,YES,
aptinfo,51,name_key,text,,,,YES,
aptinfo,52,lot_key,text,,,,YES,
aptinfo,53,raw,jsonb,,,,NO,
aptinfo,54,created_at,timestamp with time zone,,,,NO,now()
aptinfo,55,updated_at,timestamp with time zone,,,,NO,now()
aptinfo_ext,1,apt_cd,text,,,,NO,
aptinfo_ext,2,sn,integer,,32,0,YES,
aptinfo_ext,3,apt_nm,text,,,,YES,
aptinfo_ext,4,cmpx_clsf,text,,,,YES,
